contractions,full_forms
isn't,is not
don't,do not
I'm,I am
can't,cannot
won't,will not
they're,they are
we're,we are
you're,you are
he's,he is
she's,she is
it's,it is
that's,that is
there's,there is
what's,what is
here's,here is
who's,who is
how's,how is
where's,where is
why's,why is
didn't,did not
couldn't,could not
shouldn't,should not
wouldn't,would not
aren't,are not
weren't,were not
hasn't,has not
haven't,have not
hadn't,had not
doesn't,does not
aren't,are not
let's,let us
mustn't,must not
shan't,shall not
she'd,she would
she'll,she will
that'll,that will
there'd,there would
they'd,they would
they'll,they will
we'd,we would
we'll,we will
what'll,what will
when's,when is
where'd,where did
where'll,where will
who'd,who would
who'll,who will
why'd,why did
you'd,you would
you'll,you will
