index,price_changes
1,0
6,1
9,0
13,1
16,0
17,2
18,1
19,0
20,0
21,0
22,1
23,2
24,1
26,1
27,0
28,0
29,0
30,0
31,1
32,2
33,0
34,0
35,0
37,1
38,0
39,0
40,1
41,2
42,0
43,0
44,0
45,1
49,2
53,1
55,2
57,0
58,1
61,0
62,0
65,0
66,0
69,1
70,0
71,0
74,0
76,1
77,0
79,0
81,1
85,1
87,2
89,2
90,2
91,1
92,1
93,2
95,2
96,1
98,0
102,2
104,2
107,0
109,0
111,0
114,0
115,0
116,1
119,0
120,1
121,2
122,1
123,1
124,2
125,0
126,0
127,0
128,0
129,1
134,1
136,1
137,1
138,1
142,2
144,1
145,1
146,1
147,2
149,2
150,2
151,2
152,1
153,2
154,2
155,2
156,1
157,1
158,2
161,2
162,2
163,1
166,2
173,1
175,0
178,1
179,1
182,1
184,1
186,1
187,1
190,1
194,0
196,1
197,1
201,0
202,1
203,1
204,1
206,2
207,1
208,1
210,1
211,1
212,1
214,2
215,1
216,1
219,2
221,1
222,1
224,2
227,0
228,1
229,1
230,2
231,1
233,0
234,1
239,1
240,2
241,1
246,1
249,0
251,2
252,0
254,0
255,1
256,2
257,0
259,1
260,0
261,0
264,0
265,0
268,2
269,0
272,1
274,2
276,0
279,1
286,1
287,0
288,1
290,2
291,1
292,1
295,1
296,1
298,2
299,1
300,1
301,2
302,1
303,2
305,1
308,2
309,2
310,1
313,2
314,2
315,2
316,0
318,2
320,1
321,0
323,1
325,1
326,1
327,1
329,1
331,1
332,1
333,0
334,2
336,0
337,2
341,1
346,1
348,1
350,0
351,1
353,0
354,1
355,1
357,1
358,1
360,1
363,1
365,1
367,1
368,1
369,1
371,1
372,1
374,1
375,1
376,1
377,1
378,1
380,1
381,1
382,2
385,1
386,1
388,2
393,0
394,2
395,1
397,0
398,2
400,1
402,0
403,0
406,0
407,0
408,0
410,0
412,1
413,0
414,0
416,2
417,1
418,1
419,1
420,0
421,0
423,1
424,1
425,2
426,2
427,1
428,1
429,2
431,1
432,1
433,2
435,0
436,2
438,0
