index,price_changes
0,1
1,1
4,2
5,2
9,1
12,2
18,1
24,1
27,0
28,0
33,0
38,0
39,0
42,0
53,2
58,2
62,2
65,2
66,2
68,2
71,2
73,2
74,0
75,0
79,0
80,0
90,1
94,1
96,1
98,0
105,0
108,0
112,1
113,0
117,1
118,0
126,0
128,0
130,0
132,0
133,0
135,0
136,0
138,0
140,0
141,0
142,0
143,1
144,0
146,0
147,0
148,1
149,1
150,1
151,1
153,1
154,2
156,1
158,2
160,2
161,2
163,1
164,0
166,2
168,2
169,0
180,2
184,1
188,2
191,0
196,1
197,1
198,0
203,1
205,1
206,1
207,1
208,2
209,2
211,1
213,1
214,1
215,2
216,2
217,2
220,1
221,2
222,2
225,1
226,1
229,2
232,1
235,0
236,0
237,0
238,0
239,1
242,0
243,0
244,0
245,0
246,1
251,2
255,0
256,2
258,2
259,0
262,2
263,1
266,1
267,0
268,2
270,1
273,0
274,2
275,1
277,1
281,1
283,1
285,1
286,0
287,0
288,2
291,1
292,1
294,1
295,0
299,1
300,1
306,1
311,1
312,2
316,0
317,2
319,1
321,0
322,1
324,1
327,1
328,1
330,1
332,1
335,1
338,1
339,2
340,2
341,1
343,1
344,2
345,2
346,1
349,0
352,0
355,0
356,0
358,0
359,0
360,1
361,2
364,2
365,2
369,2
375,2
380,2
391,1
392,1
393,1
397,1
399,1
403,0
404,0
405,1
408,0
409,0
417,1
422,2
423,0
424,0
425,1
427,1
430,2
431,0
432,0
433,1
