index,price_changes
2,1
6,1
7,0
10,1
13,1
14,0
16,0
17,2
18,1
19,0
20,2
21,2
23,2
24,1
25,2
26,0
29,2
30,2
32,1
33,0
35,2
36,2
37,0
40,2
41,1
42,0
44,2
45,2
47,2
49,0
50,2
52,2
55,0
56,2
59,0
62,0
63,0
65,0
67,0
69,1
72,0
76,1
78,0
81,1
83,0
85,1
90,1
95,1
97,0
98,0
107,0
109,0
111,0
112,2
115,0
117,2
125,2
127,2
129,1
134,1
150,0
153,0
154,2
155,2
156,1
158,2
159,2
160,2
161,2
162,2
163,1
164,1
165,1
166,2
167,2
168,2
169,1
170,1
171,1
172,1
173,0
181,0
189,0
193,1
197,1
200,1
206,1
207,1
214,1
215,1
220,2
221,1
222,2
225,2
229,2
247,0
248,0
250,0
253,0
255,2
259,2
268,1
269,1
274,1
276,1
280,2
282,1
284,1
286,0
288,1
289,2
291,2
292,1
293,1
295,0
297,2
299,2
300,1
308,1
314,1
326,1
331,1
341,1
342,2
346,1
347,2
348,1
351,1
354,1
357,1
365,1
369,1
377,1
382,2
385,1
388,2
393,0
397,0
403,0
408,0
411,0
412,1
413,0
414,0
415,0
417,1
419,1
420,0
421,0
422,0
424,1
425,1
427,1
429,2
430,0
432,1
433,1
435,1
436,2
438,1
